method,augmentation_family,augmentation_count,normal_train_used,real_anomaly_seed_used,augmented_anomaly_used,total_anomaly_train_used,normal_to_anomaly_ratio,threshold,validation_precision,validation_recall,validation_f1,validation_f2,precision,recall,f1,f2,auroc,auprc,false_negative,false_positive
ScoreFiltered Masking Diffusion,generative_score_filtered,200,5000,247,200,447,11.185682326621924,0.8899999999999999,0.9292929292929293,0.5609756097560976,0.6996197718631179,0.609271523178808,0.9470588235294117,0.543918918918919,0.6909871244635193,0.5945347119645494,0.9700567713135039,0.8371612875065061,135,9
Noise injection,traditional,200,5000,247,200,447,11.185682326621924,0.8699999999999999,0.7985611510791367,0.676829268292683,0.7326732673267327,0.6981132075471698,0.8333333333333334,0.7432432432432432,0.7857142857142857,0.7596685082872928,0.9760771992818672,0.8710987831718803,76,44
Masking Diffusion,generative,500,5000,247,500,747,6.693440428380187,0.8799999999999999,0.8571428571428571,0.6219512195121951,0.7208480565371025,0.6580645161290323,0.8925619834710744,0.7297297297297297,0.8029739776951673,0.7573632538569425,0.9817240040758892,0.8905877574000987,80,26
Filtered Masking Diffusion,generative_filtered,500,5000,247,500,747,6.693440428380187,0.8599999999999999,0.8106060606060606,0.6524390243902439,0.722972972972973,0.6789340101522843,0.8152173913043478,0.7601351351351351,0.7867132867132867,0.7705479452054794,0.980601921490611,0.8836117607727498,71,51
ScoreFiltered Masking Diffusion,generative_score_filtered,500,5000,247,500,747,6.693440428380187,0.8999999999999999,0.8062015503875969,0.6341463414634146,0.7098976109215017,0.6624203821656051,0.8144796380090498,0.6081081081081081,0.6963249516441006,0.6405693950177936,0.965193604735795,0.8013952879817786,116,41
Magnitude warping,traditional,500,5000,247,500,747,6.693440428380187,0.83,0.90625,0.7073170731707317,0.7945205479452054,0.7397959183673469,0.9266409266409267,0.8108108108108109,0.8648648648648649,0.8316008316008316,0.9909444902712408,0.9398477473221344,56,19
Masking Diffusion,generative,750,5000,247,750,997,5.015045135406218,0.8899999999999999,0.8636363636363636,0.6951219512195121,0.7702702702702703,0.7233502538071066,0.8975409836065574,0.7398648648648649,0.8111111111111111,0.7668067226890757,0.9840979669076617,0.8994457105606072,77,25
Filtered Masking Diffusion,generative_filtered,750,5000,247,750,997,5.015045135406218,0.8499999999999999,0.9375,0.7317073170731707,0.821917808219178,0.7653061224489796,0.952191235059761,0.8074324324324325,0.8738574040219378,0.8327526132404182,0.990904459216847,0.9431902937013892,57,12
ScoreFiltered Masking Diffusion,generative_score_filtered,750,5000,247,750,997,5.015045135406218,0.8699999999999999,0.8507462686567164,0.6951219512195121,0.7651006711409396,0.7215189873417721,0.8555555555555555,0.7804054054054054,0.8162544169611308,0.7943603851444292,0.9819023242272793,0.897712493194029,65,39
Comprehensive,traditional,750,5000,247,750,997,5.015045135406218,0.84,0.9344262295081968,0.6951219512195121,0.7972027972027972,0.7326478149100257,0.9354838709677419,0.7837837837837838,0.8529411764705882,0.8100558659217877,0.9885693143772138,0.9325140948286832,64,16
Masking Diffusion,generative,1000,5000,247,1000,1247,4.0096230954290295,0.8699999999999999,0.9310344827586207,0.6585365853658537,0.7714285714285715,0.6994818652849741,0.8821138211382114,0.7331081081081081,0.8007380073800738,0.7587412587412588,0.9903367460818089,0.9284426426370492,79,29
Filtered Masking Diffusion,generative_filtered,1000,5000,247,1000,1247,4.0096230954290295,0.84,0.8450704225352113,0.7317073170731707,0.7843137254901961,0.7518796992481203,0.8333333333333334,0.8445945945945946,0.8389261744966443,0.8423180592991913,0.9881969042651269,0.9221145258461895,46,50
ScoreFiltered Masking Diffusion,generative_score_filtered,1000,5000,247,1000,1247,4.0096230954290295,0.8799999999999999,0.8790322580645161,0.6646341463414634,0.7569444444444444,0.6987179487179487,0.8714859437751004,0.7331081081081081,0.7963302752293578,0.7571528262386602,0.9839887913047698,0.8971856077381265,79,32
Noise injection,traditional,1000,5000,247,1000,1247,4.0096230954290295,0.83,0.9829059829059829,0.7012195121951219,0.8185053380782918,0.7438551099611902,0.975609756097561,0.8108108108108109,0.8856088560885609,0.8391608391608392,0.994561841913727,0.964624461131007,56,6
