method,augmentation_family,augmentation_count,normal_train_used,real_anomaly_seed_used,augmented_anomaly_used,total_anomaly_train_used,normal_to_anomaly_ratio,threshold,validation_precision,validation_recall,validation_f1,validation_f2,precision,recall,f1,f2,auroc,auprc,false_negative,false_positive
Filtered Masking Diffusion,generative_filtered,750,5000,247,750,997,5.015045135406218,0.8499999999999999,0.9375,0.7317073170731707,0.821917808219178,0.7653061224489796,0.952191235059761,0.8074324324324325,0.8738574040219378,0.8327526132404182,0.990904459216847,0.9431902937013892,57,12
Filtered Masking Diffusion,generative_filtered,1000,5000,247,1000,1247,4.0096230954290295,0.84,0.8450704225352113,0.7317073170731707,0.7843137254901961,0.7518796992481203,0.8333333333333334,0.8445945945945946,0.8389261744966443,0.8423180592991913,0.9881969042651269,0.9221145258461895,46,50
Frequency domain,traditional,50,5000,247,50,297,16.835016835016834,0.8799999999999999,0.6706586826347305,0.6829268292682927,0.676737160120846,0.6804374240583232,0.7335640138408305,0.7162162162162162,0.7247863247863248,0.7196198234894773,0.96270197486535,0.7992712381673498,84,77
Frequency domain,traditional,100,5000,247,100,347,14.409221902017292,0.9199999999999999,0.8584070796460177,0.5914634146341463,0.7003610108303249,0.6306892067620286,0.9130434782608695,0.5675675675675675,0.7,0.6140350877192983,0.9649048959192585,0.8223672216091132,128,16
Frequency domain,traditional,200,5000,247,200,447,11.185682326621924,0.8999999999999999,0.9803921568627451,0.6097560975609756,0.7518796992481203,0.6596306068601583,0.9939759036144579,0.5574324324324325,0.7142857142857143,0.6111111111111112,0.9794106943568344,0.8891524438354818,131,1
Frequency domain,traditional,500,5000,247,500,747,6.693440428380187,0.8499999999999999,0.9349593495934959,0.7012195121951219,0.8013937282229965,0.7381258023106547,0.9446808510638298,0.75,0.8361581920903954,0.7822410147991543,0.9891467320102867,0.930514056151515,74,13
Frequency domain,traditional,750,5000,247,750,997,5.015045135406218,0.8699999999999999,0.9145299145299145,0.6524390243902439,0.7615658362989324,0.6921086675291074,0.9392523364485982,0.6790540540540541,0.788235294117647,0.7188841201716738,0.9897993595031298,0.92397368162697,95,13
Frequency domain,traditional,1000,5000,247,1000,1247,4.0096230954290295,0.84,0.9186991869918699,0.6890243902439024,0.7874564459930313,0.7252888318356868,0.9349593495934959,0.777027027027027,0.8487084870848709,0.8041958041958042,0.9908741326604881,0.9350866487688526,66,16
Magnitude warping,traditional,50,5000,247,50,297,16.835016835016834,0.8999999999999999,0.7443609022556391,0.6036585365853658,0.6666666666666666,0.6273764258555133,0.8045454545454546,0.597972972972973,0.686046511627907,0.6303418803418803,0.966837304090446,0.8082242240030955,119,43
Magnitude warping,traditional,100,5000,247,100,347,14.409221902017292,0.8899999999999999,0.9405940594059405,0.5792682926829268,0.7169811320754716,0.6274768824306473,0.9888888888888889,0.6013513513513513,0.7478991596638656,0.6524926686217009,0.9702593527099811,0.854426005862289,118,2
Magnitude warping,traditional,200,5000,247,200,447,11.185682326621924,0.9099999999999999,1.0,0.6097560975609756,0.7575757575757576,0.6613756613756614,0.9941176470588236,0.5709459459459459,0.7253218884120172,0.6240768094534712,0.9761196564607695,0.8831015096825684,127,1
Magnitude warping,traditional,500,5000,247,500,747,6.693440428380187,0.83,0.90625,0.7073170731707317,0.7945205479452054,0.7397959183673469,0.9266409266409267,0.8108108108108109,0.8648648648648649,0.8316008316008316,0.9909444902712408,0.9398477473221344,56,19
Magnitude warping,traditional,750,5000,247,750,997,5.015045135406218,0.8699999999999999,0.9907407407407407,0.6524390243902439,0.7867647058823529,0.7002617801047121,1.0,0.6655405405405406,0.7991886409736308,0.7132512671976828,0.9928041147071668,0.948909462173641,99,0
Magnitude warping,traditional,1000,5000,247,1000,1247,4.0096230954290295,0.8799999999999999,0.856,0.6524390243902439,0.740484429065744,0.6850192061459667,0.8778280542986425,0.6554054054054054,0.7504835589941973,0.6903914590747331,0.9869207627735456,0.8994964483221538,102,27
Masking Diffusion,generative,50,5000,247,50,297,16.835016835016834,0.9199999999999999,0.7946428571428571,0.5426829268292683,0.644927536231884,0.5794270833333334,0.8263157894736842,0.5304054054054054,0.6460905349794238,0.5713245997088792,0.9589948566160416,0.7872967276794282,139,33
Masking Diffusion,generative,100,5000,247,100,347,14.409221902017292,0.8899999999999999,0.8412698412698413,0.6463414634146342,0.7310344827586207,0.6777493606138107,0.8849557522123894,0.6756756756756757,0.7662835249042146,0.7092198581560284,0.970299383764375,0.8499557143068392,96,26
Masking Diffusion,generative,200,5000,247,200,447,11.185682326621924,0.8999999999999999,0.7769230769230769,0.6158536585365854,0.6870748299319728,0.6424936386768448,0.8049792531120332,0.6554054054054054,0.7225325884543762,0.6807017543859649,0.9732119462370808,0.8246904114575843,102,47
Masking Diffusion,generative,500,5000,247,500,747,6.693440428380187,0.8799999999999999,0.8571428571428571,0.6219512195121951,0.7208480565371025,0.6580645161290323,0.8925619834710744,0.7297297297297297,0.8029739776951673,0.7573632538569425,0.9817240040758892,0.8905877574000987,80,26
Masking Diffusion,generative,750,5000,247,750,997,5.015045135406218,0.8899999999999999,0.8636363636363636,0.6951219512195121,0.7702702702702703,0.7233502538071066,0.8975409836065574,0.7398648648648649,0.8111111111111111,0.7668067226890757,0.9840979669076617,0.8994457105606072,77,25
Masking Diffusion,generative,1000,5000,247,1000,1247,4.0096230954290295,0.8699999999999999,0.9310344827586207,0.6585365853658537,0.7714285714285715,0.6994818652849741,0.8821138211382114,0.7331081081081081,0.8007380073800738,0.7587412587412588,0.9903367460818089,0.9284426426370492,79,29
Noise injection,traditional,50,5000,247,50,297,16.835016835016834,0.8999999999999999,0.8907563025210085,0.6463414634146342,0.7491166077738516,0.6838709677419355,0.9082125603864735,0.6351351351351351,0.7475149105367793,0.6757728253055356,0.96500558008637,0.8241185156798161,108,19
Noise injection,traditional,100,5000,247,100,347,14.409221902017292,0.8899999999999999,0.9285714285714286,0.6341463414634146,0.7536231884057971,0.6770833333333334,0.97,0.6554054054054054,0.782258064516129,0.7008670520231214,0.9770537143966228,0.8768728100110557,102,6
Noise injection,traditional,200,5000,247,200,447,11.185682326621924,0.8699999999999999,0.7985611510791367,0.676829268292683,0.7326732673267327,0.6981132075471698,0.8333333333333334,0.7432432432432432,0.7857142857142857,0.7596685082872928,0.9760771992818672,0.8710987831718803,76,44
Noise injection,traditional,500,5000,247,500,747,6.693440428380187,0.84,0.8041958041958042,0.7012195121951219,0.749185667752443,0.7196495619524406,0.8404255319148937,0.8006756756756757,0.8200692041522492,0.8083219645293315,0.9886493764860013,0.9137490668509061,59,45
Noise injection,traditional,750,5000,247,750,997,5.015045135406218,0.84,0.9658119658119658,0.6890243902439024,0.8042704626334519,0.7309184993531694,0.9663865546218487,0.777027027027027,0.8614232209737828,0.8087201125175809,0.9900941336309379,0.9371795117863565,66,8
Noise injection,traditional,1000,5000,247,1000,1247,4.0096230954290295,0.83,0.9829059829059829,0.7012195121951219,0.8185053380782918,0.7438551099611902,0.975609756097561,0.8108108108108109,0.8856088560885609,0.8391608391608392,0.994561841913727,0.964624461131007,56,6
ScoreFiltered Masking Diffusion,generative_score_filtered,50,5000,247,50,297,16.835016835016834,0.9299999999999999,0.9885057471264368,0.524390243902439,0.6852589641434262,0.5787348586810229,0.9927536231884058,0.46283783783783783,0.631336405529954,0.5181543116490166,0.9562533359211995,0.7906048071222634,159,1
ScoreFiltered Masking Diffusion,generative_score_filtered,100,5000,247,100,347,14.409221902017292,0.9299999999999999,0.8543689320388349,0.5365853658536586,0.6591760299625468,0.5797101449275363,0.8846153846153846,0.46621621621621623,0.6106194690265486,0.5149253731343284,0.955345965354942,0.7692620897752452,158,18
ScoreFiltered Masking Diffusion,generative_score_filtered,200,5000,247,200,447,11.185682326621924,0.8899999999999999,0.9292929292929293,0.5609756097560976,0.6996197718631179,0.609271523178808,0.9470588235294117,0.543918918918919,0.6909871244635193,0.5945347119645494,0.9700567713135039,0.8371612875065061,135,9
ScoreFiltered Masking Diffusion,generative_score_filtered,500,5000,247,500,747,6.693440428380187,0.8999999999999999,0.8062015503875969,0.6341463414634146,0.7098976109215017,0.6624203821656051,0.8144796380090498,0.6081081081081081,0.6963249516441006,0.6405693950177936,0.965193604735795,0.8013952879817786,116,41
ScoreFiltered Masking Diffusion,generative_score_filtered,750,5000,247,750,997,5.015045135406218,0.8699999999999999,0.8507462686567164,0.6951219512195121,0.7651006711409396,0.7215189873417721,0.8555555555555555,0.7804054054054054,0.8162544169611308,0.7943603851444292,0.9819023242272793,0.897712493194029,65,39
ScoreFiltered Masking Diffusion,generative_score_filtered,1000,5000,247,1000,1247,4.0096230954290295,0.8799999999999999,0.8790322580645161,0.6646341463414634,0.7569444444444444,0.6987179487179487,0.8714859437751004,0.7331081081081081,0.7963302752293578,0.7571528262386602,0.9839887913047698,0.8971856077381265,79,32
Time warping,traditional,50,5000,247,50,297,16.835016835016834,0.8899999999999999,0.726027397260274,0.6463414634146342,0.6838709677419355,0.6608478802992519,0.7510204081632653,0.6216216216216216,0.6802218114602587,0.6438068579426172,0.9590821970983552,0.7624934018031487,112,61
Time warping,traditional,100,5000,247,100,347,14.409221902017292,0.9199999999999999,0.746268656716418,0.6097560975609756,0.6711409395973155,0.6329113924050633,0.7241379310344828,0.5675675675675675,0.6363636363636364,0.5932203389830508,0.9438825270512883,0.697323374011007,128,64
Time warping,traditional,200,5000,247,200,447,11.185682326621924,0.9199999999999999,0.7647058823529411,0.5548780487804879,0.6431095406360424,0.5870967741935483,0.7524271844660194,0.5236486486486487,0.6175298804780877,0.5575539568345323,0.9463171429957786,0.7363930253544739,141,51
Time warping,traditional,500,5000,247,500,747,6.693440428380187,0.8799999999999999,0.7412587412587412,0.6463414634146342,0.6905537459283387,0.6633291614518148,0.7191011235955056,0.6486486486486487,0.6820603907637656,0.6616126809097175,0.9558372555679557,0.7529092055425525,104,75
Time warping,traditional,750,5000,247,750,997,5.015045135406218,0.8999999999999999,0.8083333333333333,0.5914634146341463,0.6830985915492958,0.625,0.7685185185185185,0.5608108108108109,0.6484375,0.5928571428571429,0.9512797806783444,0.7328117310166202,130,50
Time warping,traditional,1000,5000,247,1000,1247,4.0096230954290295,0.8499999999999999,0.9065420560747663,0.5914634146341463,0.7158671586715867,0.63564875491481,0.7949790794979079,0.6418918918918919,0.7102803738317757,0.6676036542515812,0.9645992042311611,0.8172077890435857,106,49
